Flight No.,"Version,Booster [b]",Launch site,Payload[c],Payload mass,Orbit,Customer,Launchoutcome,Boosterlanding,1,2,3,4,5,6,7,Payload,Launch outcome,Version Booster,Booster landing,Date,Time
1,,CCAFS,,0,LEO,SpaceX,,,,,,,,,,Dragon Spacecraft Qualification Unit,"Success
",F9 v1.0B0003.1,Failure,"['4 June 2010,', '18:45']",18:45
2,,CCAFS,,0,LEO,NASA,,,,,,,,,,Dragon Spacecraft Qualification Unit,Success,F9 v1.0B0003.1,Failure,"['4 June 2010,', '18:45']",18:45
3,,CCAFS,,0,LEO,NASA,,,,,,,,,,Dragon Spacecraft Qualification Unit,Success,F9 v1.0B0003.1,"Not attempted
","['4 June 2010,', '18:45']",18:45
4,,CCAFS,,0,LEO,NASA,,,,,,,,,,Dragon Spacecraft Qualification Unit,"Success
",F9 v1.0B0003.1,No attempt,"['4 June 2010,', '18:45']",18:45
5,,CCAFS,,525 kg,LEO,NASA,,,,,,,,,,Dragon,"Success
",F9 v1.0B0004.1,"Not attempted
","['4 June 2010,', '18:45']",15:43
6,,CCAFS,,"4,700 kg",LEO,MDA,,,,,,,,,,Dragon,Success,F9 v1.0B0005.1,Uncontrolled,"['8 December 2010,', '15:43']",07:44
7,,CCAFS,,"4,877 kg",Polar orbit,SES,,,,,,,,,,SpaceX CRS-1,Success,F9 v1.0B0006.1,Not attempted,"['22 May 2012,', '07:44']",00:35
8,,CCAFS,,500 kg,GTO,Thaicom,,,,,,,,,,SpaceX CRS-2,Success,F9 v1.0B0007.1,Not attempted,"['8 October 2012,', '00:35']",15:10
9,,VAFB,,"3,170 kg",GTO,NASA,,,,,,,,,,CASSIOPE,"Success
",F9 v1.1B1003,Controlled,"['1 March 2013,', '15:10']",16:00
10,,CCAFS,,"3,325 kg",LEO,Orbcomm,,,,,,,,,,SES-8,Success,F9 v1.1,Controlled,"['29 September 2013,', '16:00']",22:41
11,,CCAFS,,"2,296 kg",LEO,AsiaSat,,,,,,,,,,Thaicom 6,Success,F9 v1.1,Not attempted,"['3 December 2013,', '22:41']",22:06
12,,Cape Canaveral,,"1,316 kg",GTO,AsiaSat,,,,,,,,,,SpaceX CRS-3,Success,F9 v1.1,"Not attempted
","['6 January 2014,', '22:06']",19:25
13,,Cape Canaveral,,"4,535 kg",GTO,NASA,,,,,,,,,,Orbcomm-OG2,Success,F9 v1.1,Uncontrolled,"['18 April 2014,', '19:25']",15:15
14,,Cape Canaveral,,"4,428 kg",LEO,NASA,,,,,,,,,,AsiaSat 8,Success,F9 v1.1,Failure ,"['14 July 2014,', '15:15']",08:00
15,,Cape Canaveral,,"2,216 kg",LEO,USAF,,,,,,,,,,AsiaSat 6,"Success
",F9 v1.1,Controlled,"['5 August 2014,', '08:00']",05:00
16,,Cape Canaveral,,"2,395 kg",HEO,ABS,,,,,,,,,,SpaceX CRS-4,"Success
",F9 v1.1,Not attempted,"['7 September 2014,', '05:00']",05:52
17,,Cape Canaveral,,570 kg,GTO,NASA,,,,,,,,,,SpaceX CRS-5,"Success
",F9 v1.1,Failure,"['21 September 2014,', '05:52']",09:47
18,,Cape Canaveral,,"4,159 kg",LEO,,,,,,,,,,,DSCOVR,"Success
",F9 v1.1,Not attempted,"['10 January 2015,', '09:47']",23:03
19,,Cape Canaveral,,"1,898 kg",GTO,NASA,,,,,,,,,,ABS-3A,Failure,F9 v1.1,Precluded,"['11 February 2015,', '23:03']",03:50
20,,Cape Canaveral,,"4,707 kg",LEO,Orbcomm,,,,,,,,,,SpaceX CRS-6,"Success
",F9 v1.1,Success,"['2 March 2015,', '03:50']",20:10
21,,Cape Canaveral,,"1,952 kg",LEO,NASA,,,,,,,,,,TürkmenÄlem 52°E / MonacoSAT,"Success
",F9 v1.1,Failure,"['14 April 2015,', '20:10']",23:03
22,,Cape Canaveral,,"2,034 kg",LEO,SES,,,,,,,,,,SpaceX CRS-7,"Success
",F9 v1.1,Failure,"['27 April 2015,', '23:03']",14:21
23,,Cape Canaveral,,553 kg,GTO,NASA,,,,,,,,,,Orbcomm-OG2,Success,F9 FT,Success,"['28 June 2015,', '14:21']",01:29
24,,VAFB,,"5,271 kg",LEO,SKY Perfect JSAT Group,,,,,,,,,,Jason-3,"Success
",F9 v1.1,Success,"['22 December 2015,', '01:29']",18:42
25,,Cape Canaveral,,"3,136 kg",GTO,Thaicom,,,,,,,,,,SES-9,"Success
",F9 FT,Success,"['17 January 2016,', '18:42']",23:35
26,,Cape Canaveral,,"4,696 kg",GTO,ABS,,,,,,,,,,SpaceX CRS-8,"Success
",F9 FT,Failure,"['4 March 2016,', '23:35']",20:43
27,,Cape Canaveral,,"3,100 kg",GTO,NASA,,,,,,,,,,JCSAT-14,"Success
",F9 FT,Success,"['8 April 2016,', '20:43']",05:21
28,,Cape Canaveral,,"3,600 kg",LEO,SKY Perfect JSAT Group,,,,,,,,,,Thaicom 8,"Success
",F9 FT,Success,"['6 May 2016,', '05:21']",21:39
29,,Cape Canaveral,,"2,257 kg",GTO,Iridium Communications,,,,,,,,,,ABS-2A,"Success
",F9 FT,Success,"['27 May 2016,', '21:39']",14:29
30,,Cape Canaveral,,"4,600 kg",Polar,NASA,,,,,,,,,,SpaceX CRS-9,"Success
",F9 FT,Success,"['15 June 2016,', '14:29']",04:45
31,,Cape Canaveral,,"9,600 kg",LEO,EchoStar,,,,,,,,,,JCSAT-16,"Success
",F9 FT,Not attempted,"['18 July 2016,', '04:45']",05:26
32,,VAFB,,"2,490 kg",GTO,SES,,,,,,,,,,Iridium NEXT,Success,F9 FT,Success,"['14 August 2016,', '05:26']",17:54
33,,KSC,,"5,600 kg",GTO,NRO,,,,,,,,,,SpaceX CRS-10,"Success
",F9 FT,Success,"['14 January 2017,', '17:54']",14:39
34,,KSC,,"5,300 kg",LEO,Inmarsat,,,,,,,,,,EchoStar 23,"Success
",F9 FT,Not attempted,"['19 February 2017,', '14:39']",06:00
35,,KSC,,C,GTO,NASA,,,,,,,,,,SES-10,"Success
",F9 FT♺,Success,"['16 March 2017,', '06:00']",22:27
36,,KSC,,"6,070 kg",LEO,Bulsatcom,,,,,,,,,,NROL-76,"Success
",F9 FT,Success,"['30 March 2017,', '22:27']",11:15
37,,KSC,,"2,708 kg",GTO,Iridium Communications,,,,,,,,,,Inmarsat-5 F4,"Success
",F9 FT,Success,"['1 May 2017,', '11:15']",23:21
38,,KSC,,"3,669 kg",LEO,Intelsat,,,,,,,,,,SpaceX CRS-11,"Success
",F9 FT,Not attempted,"['15 May 2017,', '23:21']",21:07
39,,KSC,,"9,600 kg",GTO,NASA,,,,,,,,,,BulgariaSat-1,"Success
",F9 FTB1029.2,Success,"['3 June 2017,', '21:07']",19:10
40,,VAFB,,"6,761 kg",LEO,NSPO,,,,,,,,,,Iridium NEXT,"Success
",F9 FT,Success,"['23 June 2017,', '19:10']",20:25
41,,KSC,,"3,310 kg",SSO,USAF,,,,,,,,,,Intelsat 35e,"Success
",F9 FT,Success,"['25 June 2017,', '20:25']",23:38
42,,KSC,,475 kg,LEO,Iridium Communications,,,,,,,,,,SpaceX CRS-12,"Success
",F9 B4,Success,"['5 July 2017,', '23:38']",16:31
43,,VAFB,,"4,990 kg",Polar,SES S.A.,,,,,,,,,,Formosat-5,"Success
",F9 FT,Success,"['14 August 2017,', '16:31']",18:51
44,,KSC,,"9,600 kg",GTO,KT Corporation,,,,,,,,,,Boeing X-37B,"Success
",F9 B4,Success,"['24 August 2017,', '18:51']",14:00
45,,VAFB,,"5,200 kg",GTO,NASA,,,,,,,,,,Iridium NEXT,"Success
",F9 B4,Success,"['7 September 2017,', '14:00']",12:37
46,,KSC,,"3,500 kg",LEO,Iridium Communications,,,,,,,,,,SES-11,Success,F9 FTB1031.2,Controlled,"['9 October 2017,', '12:37']",22:53:00
47,,KSC,,"2,205 kg",Polar,Northrop Grumman,,,,,,,,,,Koreasat 5A,Success,F9 B4,Success,"['11 October 2017,', '22:53:00']",19:34
48,,Cape Canaveral,,"9,600 kg",LEO,SES,,,,,,,,,,SpaceX CRS-13,Success,F9 FTB1035.2,Controlled,"['30 October 2017,', '19:34']",15:36
49,,VAFB,,C,GTO,Hisdesat,,,,,,,,,,Iridium NEXT,Success,F9 FTB1036.2,Not attempted,"['15 December 2017,', '15:36']",01:27
50,,CCAFS,,"4,230 kg",SSO,Hispasat,,,,,,,,,,Zuma,Success,F9 B4,No attempt,"['23 December 2017,', '01:27']",01:00
51,,CCAFS,,"2,150 kg",GTO,Iridium Communications,,,,,,,,,,GovSat-1,Success,F9 FTB1032.2,No attempt,"['8 January 2018,', '01:00']",21:25
52,,VAFB,,"6,092 kg",Polar,NASA,,,,,,,,,,Paz,Success,F9 FTB1038.2,Not attempted,"['31 January 2018,', '21:25']",14:17
53,,CCAFS,,"9,600 kg",LEO,NASA,,,,,,,,,,Hispasat 30W-6,Success,F9 B4,Success,"['22 February 2018,', '14:17']",05:33
54,,VAFB,,"2,647 kg",HEO,Thales-Alenia,,,,,,,,,,Iridium NEXT,Success,F9 B4B1041.2,Success,"['6 March 2018,', '05:33']",14:14
55,,CCAFS,,362 kg,GTO,Iridium Communications,,,,,,,,,,SpaceX CRS-14,Success,F9 B4B1039.2,Not attempted,"['30 March 2018,', '14:14']",20:30
56,,CCAFS,,"3,600 kg",Polar,SES,,,,,,,,,,Transiting Exoplanet Survey Satellite,Success,F9 B4,Not attempted,"['2 April 2018,', '20:30']",22:51
57,,KSC,,"6,460 kg",GTO,NASA,,,,,,,,,,Bangabandhu-1,Success,F9 B5B1046.1,Not attempted,"['18 April 2018,', '22:51']",20:14
58,,VAFB,,"5,384 kg",LEO,Telesat,,,,,,,,,,Iridium NEXT,Success,F9 B4B1043.2,Success,"['11 May 2018,', '20:14']",19:47
59,,CCAFS,,"2,697 kg",GTO,Iridium Communications,,,,,,,,,,SES-12,Success,F9 B4B1040.2,Success,"['22 May 2018,', '19:47']",04:45
60,,CCAFS,,"7,075 kg",Polar,Telkom Indonesia,,,,,,,,,,SpaceX CRS-15,Success,F9 B4B1045.2,Success,"['4 June 2018,', '04:45']",09:42
61,,CCAFS,,"9,600 kg",GTO,Telesat,,,,,,,,,,Telstar 19V,Success,F9 B5,Success,"['29 June 2018,', '09:42']",05:50
62,,VAFB,,"5,800 kg",GTO,CONAE,,,,,,,,,,Iridium NEXT,Success,F9 B5B1048,Success,"['22 July 2018,', '05:50']",11:39
63,,CCAFS,,"7,060 kg",SSO,Es'hailSat,,,,,,,,,,Merah Putih,Success,F9 B5B1046.2,Success,"['25 July 2018,', '11:39']",05:18
64,,CCAFS,,"3,000 kg",GTO,Spaceflight Industries,,,,,,,,,,Telstar 18V,Success,F9 B5,Success,"['7 August 2018,', '05:18']",04:45
65,,VAFB,,"5,300 kg",SSO,NASA,,,,,,,,,,SAOCOM 1A,"Success
",F9 B5B1048.2,Failure,"['10 September 2018,', '04:45']",02:22
66,,KSC,,"~4,000 kg",LEO,USAF,,,,,,,,,,Es'hail 2,Success,F9 B5B1047.2,Not attempted,"['8 October 2018,', '02:22']",20:46
67,,VAFB,,"2,500 kg",MEO,Iridium Communications,,,,,,,,,,SSO-A,"Success
",F9 B5B1046.3,Success,"['15 November 2018,', '20:46']",18:34:05
68,,CCAFS,,"4,400 kg",Polar,PSN,,,,,,,,,,SpaceX CRS-16,"Success
",F9 B5,Success,"['3 December 2018,', '18:34:05']",18:16
69,,CCAFS,,"9,600 kg",GTO,NASA,,,,,,,,,,GPS III,"Success
",F9 B5,Success,"['5 December 2018,', '18:16']",13:51
70,,VAFB,,"4,850 kg",LEO,NASA,,,,,,,,,,Iridium NEXT,"Success
",F9 B5B1049.2,Success,"['23 December 2018,', '13:51']",15:31
71,,CCAFS,,"12,055 kg",LEO,SpaceX,,,,,,,,,,Nusantara Satu,"Success
",F9 B5B1048.3,Success,"['11 January 2019,', '15:31']",01:45
72,,KSC,,"2,495 kg",LEO,Canadian Space Agency,,,,,,,,,,Crew Dragon Demo-1,"Success
",F9 B5[268],Success,"['22 February 2019,', '01:45']",07:49
73,,CCAFS,,"13,620 kg",SSO,NASA,,,,,,,,,,SpaceX CRS-17,"Success
",F9 B5,Success,"['2 March 2019,', '07:49']",06:48
74,,CCAFS,,"4,200 kg",LEO,Spacecom,,,,,,,,,,Starlink,"Success
",F9 B5B1049.3,Not attempted,"['4 May 2019,', '06:48']",02:30
75,,VAFB,,"2,268 kg",GTO,SpaceX,,,,,,,,,,RADARSAT Constellation,"Success
",F9 B5B1051.2,Success,"['24 May 2019,', '02:30']",14:17
76,,CCAFS,,"6,500 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-18,"Success
",F9 B5B1056.2,Success,"['12 June 2019,', '14:17']",22:01
77,,CCAFS,,"15,600 kg",LEO,Sky Perfect JSAT,,,,,,,,,,AMOS-17,"Success
",F9 B5B1047.3,Success,"['25 July 2019,', '22:01']",23:23
78,,CCAFS,,"2,617 kg",GTO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5,Success,"['6 August 2019,', '23:23']",14:56
79,,CCAFS,,"6,956 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-19,"Success
",F9 B5,"Not attempted
","['11 November 2019,', '14:56']",17:29
80,,CCAFS,,"15,600 kg",Sub-orbital,SpaceX,,,,,,,,,,JCSat-18,"Success
",F9 B5B1056.3,Success,"['5 December 2019,', '17:29']",00:10
81,,CCAFS,,"12,050 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5,Failure,"['17 December 2019,', '00:10']",02:19:21
82,,KSC,,"15,600 kg",LEO,NASA,,,,,,,,,,Crew Dragon in-flight abort test,"Success
",F9 B5,Success,"['7 January 2020,', '02:19:21']",15:30
83,,CCAFS,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5,Failure,"['19 January 2020,', '15:30']",14:07
84,,CCAFS,,"1,977 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5,Success,"['29 January 2020,', '14:07']",15:05
85,,CCAFS,,"15,600 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-20,"Success
",F9 B5,Success,"['17 February 2020,', '15:05']",04:50
86,,KSC,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5,Success,"['7 March 2020,', '04:50']",12:16
87,,KSC,,"12,530 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5,Success,"['18 March 2020,', '12:16']",19:30
88,,KSC,,"15,600 kg",LEO,U.S. Space Force,,,,,,,,,,Crew Dragon Demo-2,"Success
",F9 B5,Success,"['22 April 2020,', '19:30']",19:22
89,,CCAFS,,"15,410 kg",MEO,Republic of Korea Army,,,,,,,,,,Starlink,"Success
",F9 B5,Success,"['30 May 2020,', '19:22']",01:25
90,,CCAFS,,"4,311 kg",GTO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5,Success,"['4 June 2020,', '01:25']",09:21
91,,CCAFS,,"5,000–6,000 kg",LEO,SpaceX,,,,,,,,,,GPS III,"Success
",F9 B5,Success,"['13 June 2020,', '09:21']",20:10:46
92,,CCAFS,,"14,932 kg",LEO,CONAE,,,,,,,,,,ANASIS-II,"Success
",F9 B5B1058.2,Success,"['30 June 2020,', '20:10:46']",21:30
93,,KSC,,"~15,440 kg",SSO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5,Success,"['20 July 2020,', '21:30']",05:12
94,,CCAFS,,"3,130 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5B1049.6,Success,"['7 August 2020,', '05:12']",14:31
95,,CCAFS,,"15,600 kg",LEO,SpaceX,,,,,,,,,,SAOCOM 1B,"Success
",F9 B5,Success,"['18 August 2020', '14:31']",23:18
96,,KSC,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5B1060.2,Success,"['30 August 2020', '23:18']",12:46:14
97,,KSC,,"15,600 kg",LEO,USSF,,,,,,,,,,Starlink,"Success
",F9 B5B1058.3,Success,"['3 September 2020', '12:46:14']",11:29:34
98,,KSC,,"15,600 kg",MEO,NASA,,,,,,,,,,Starlink,"Success
",F9 B5B1051.6,Success,"['6 October 2020', '11:29:34']",12:25:57
99,,CCAFS,,"4,311 kg",LEO,NASA,,,,,,,,,,Starlink,"Success
",F9 B5,Success,"['18 October 2020', '12:25:57']",15:31:34
100,,CCAFS,,"~12,500 kg",LEO,SpaceX,,,,,,,,,,GPS III,"Success
",F9 B5,Success,"['24 October 2020', '15:31:34']",23:24:23
101,,KSC,,"1,192 kg",LEO,NASA,,,,,,,,,,Crew-1,"Success
",F9 B5,Success,"['5 November 2020', '23:24:23']",00:27
102,,VAFB,,"15,600 kg",LEO,Sirius XM,,,,,,,,,,Sentinel-6 Michael Freilich (Jason-CS A),"Success
",F9 B5,Success,"['16 November 2020', '00:27']",17:17:08
103,,CCAFS,,"2,972 kg",GTO,NRO,,,,,,,,,,Starlink,"Success
",F9 B5 ♺,Success,"['21 November 2020', '17:17:08']",02:13
104,,KSC,,"7,000 kg",LEO,Türksat,,,,,,,,,,SpaceX CRS-21,"Success
",F9 B5 ♺,Success,"['25 November 2020', '02:13']",16:17:08
105,,CCSFS,,C,GTO,SpaceX,,,,,,,,,,SXM-7,"Success
",F9 B5 ♺,Success,"['6 December 2020', '16:17:08']",17:30:00
106,,KSC,,"3,500 kg",LEO,,,,,,,,,,,NROL-108,"Success
",F9 B5 ♺,Failure,"['13 December 2020', '17:30:00']",14:00:00
1,,CCSFS,,"15,600 kg",SSO,,,,,,,,,,,Türksat 5A,Success,F9 B5,Failure,"['19 December 2020', '14:00:00']",02:15
1,,KSC,,"~5,000 kg",LEO,,,,,,,,,,,Starlink,Success,F9 B5B1051.8,"Not attempted
","['8 January 2021', '02:15']",13:02
1,,CCSFS,,0,LEO,,,,,,,,,,,Transporter-1,"Success
",F9 B5B1058.5,No attempt,"['20 January 2021', '13:02']",15:00
1,,CCAFS,,0,LEO,,,,,,,,,,,Dragon Spacecraft Qualification Unit,"Success
",F9 v1.0B0003.1,"Not attempted
","['24 January 2021', '15:00']",18:45
1,,CCAFS,,525 kg,LEO,,,,,,,,,,,Dragon,Success,F9 v1.0B0004.1,Uncontrolled,"['4 June 2010,', '18:45']",15:43
2,,CCAFS,,"4,700 kg",LEO,,,,,,,,,,,Dragon,Success,F9 v1.0B0005.1,Not attempted,"['8 December 2010,', '15:43']",07:44
3,,CCAFS,,"4,877 kg",Polar orbit,,,,,,,,,,,SpaceX CRS-1,Success,F9 v1.0B0006.1,Not attempted,"['22 May 2012,', '07:44']",00:35
4,,CCAFS,,500 kg,GTO,,,,,,,,,,,SpaceX CRS-2,"Success
",F9 v1.0B0007.1,Controlled,"['8 October 2012,', '00:35']",15:10
5,,VAFB,,"3,170 kg",GTO,,,,,,,,,,,CASSIOPE,Success,F9 v1.1B1003,Controlled,"['1 March 2013,', '15:10']",16:00
6,,CCAFS,,"3,325 kg",LEO,,,,,,,,,,,SES-8,Success,F9 v1.1,Not attempted,"['29 September 2013,', '16:00']",22:41
7,,CCAFS,,"2,296 kg",LEO,,,,,,,,,,,Thaicom 6,Success,F9 v1.1,"Not attempted
","['3 December 2013,', '22:41']",22:06
8,,Cape Canaveral,,"1,316 kg",GTO,,,,,,,,,,,SpaceX CRS-3,Success,F9 v1.1,Uncontrolled,"['6 January 2014,', '22:06']",19:25
9,,Cape Canaveral,,"4,535 kg",GTO,,,,,,,,,,,Orbcomm-OG2,Success,F9 v1.1,Failure ,"['18 April 2014,', '19:25']",15:15
10,,Cape Canaveral,,"4,428 kg",LEO,,,,,,,,,,,AsiaSat 8,"Success
",F9 v1.1,Controlled,"['14 July 2014,', '15:15']",08:00
11,,Cape Canaveral,,"2,216 kg",LEO,,,,,,,,,,,AsiaSat 6,"Success
",F9 v1.1,Not attempted,"['5 August 2014,', '08:00']",05:00
12,,Cape Canaveral,,"2,395 kg",HEO,,,,,,,,,,,SpaceX CRS-4,"Success
",F9 v1.1,Failure,"['7 September 2014,', '05:00']",05:52
13,,Cape Canaveral,,570 kg,GTO,,,,,,,,,,,SpaceX CRS-5,"Success
",F9 v1.1,Not attempted,"['21 September 2014,', '05:52']",09:47
14,,Cape Canaveral,,"4,159 kg",LEO,,,,,,,,,,,DSCOVR,Failure,F9 v1.1,Precluded,"['10 January 2015,', '09:47']",23:03
15,,Cape Canaveral,,"1,898 kg",GTO,,,,,,,,,,,ABS-3A,"Success
",F9 v1.1,Success,"['11 February 2015,', '23:03']",03:50
16,,Cape Canaveral,,"4,707 kg",LEO,,,,,,,,,,,SpaceX CRS-6,"Success
",F9 v1.1,Failure,"['2 March 2015,', '03:50']",20:10
17,,Cape Canaveral,,"1,952 kg",LEO,,,,,,,,,,,TürkmenÄlem 52°E / MonacoSAT,"Success
",F9 v1.1,Failure,"['14 April 2015,', '20:10']",23:03
18,,Cape Canaveral,,"2,034 kg",LEO,,,,,,,,,,,SpaceX CRS-7,Success,F9 v1.1,Success,"['27 April 2015,', '23:03']",14:21
19,,Cape Canaveral,,553 kg,GTO,,,,,,,,,,,Orbcomm-OG2,"Success
",F9 FT,Success,"['28 June 2015,', '14:21']",01:29
20,,VAFB,,"5,271 kg",LEO,,,,,,,,,,,Jason-3,"Success
",F9 v1.1,Success,"['22 December 2015,', '01:29']",18:42
21,,Cape Canaveral,,"3,136 kg",GTO,,,,,,,,,,,SES-9,"Success
",F9 FT,Failure,"['17 January 2016,', '18:42']",23:35
22,,Cape Canaveral,,"4,696 kg",GTO,,,,,,,,,,,SpaceX CRS-8,"Success
",F9 FT,Success,"['4 March 2016,', '23:35']",20:43
23,,Cape Canaveral,,"3,100 kg",GTO,,,,,,,,,,,JCSAT-14,"Success
",F9 FT,Success,"['8 April 2016,', '20:43']",05:21
24,,Cape Canaveral,,"3,600 kg",LEO,,,,,,,,,,,Thaicom 8,"Success
",F9 FT,Success,"['6 May 2016,', '05:21']",21:39
25,,Cape Canaveral,,"2,257 kg",GTO,,,,,,,,,,,ABS-2A,"Success
",F9 FT,Success,"['27 May 2016,', '21:39']",14:29
26,,Cape Canaveral,,"4,600 kg",Polar,,,,,,,,,,,SpaceX CRS-9,"Success
",F9 FT,Not attempted,"['15 June 2016,', '14:29']",04:45
27,,Cape Canaveral,,"9,600 kg",LEO,,,,,,,,,,,JCSAT-16,Success,F9 FT,Success,"['18 July 2016,', '04:45']",05:26
28,,VAFB,,"2,490 kg",GTO,,,,,,,,,,,Iridium NEXT,"Success
",F9 FT,Success,"['14 August 2016,', '05:26']",17:54
29,,KSC,,"5,600 kg",GTO,,,,,,,,,,,SpaceX CRS-10,"Success
",F9 FT,Not attempted,"['14 January 2017,', '17:54']",14:39
30,,KSC,,"5,300 kg",LEO,,,,,,,,,,,EchoStar 23,"Success
",F9 FT,Success,"['19 February 2017,', '14:39']",06:00
31,,KSC,,C,GTO,,,,,,,,,,,SES-10,"Success
",F9 FT♺,Success,"['16 March 2017,', '06:00']",22:27
32,,KSC,,"6,070 kg",LEO,,,,,,,,,,,NROL-76,"Success
",F9 FT,Success,"['30 March 2017,', '22:27']",11:15
33,,KSC,,"2,708 kg",GTO,,,,,,,,,,,Inmarsat-5 F4,"Success
",F9 FT,Not attempted,"['1 May 2017,', '11:15']",23:21
34,,KSC,,"3,669 kg",LEO,,,,,,,,,,,SpaceX CRS-11,"Success
",F9 FT,Success,"['15 May 2017,', '23:21']",21:07
35,,KSC,,"9,600 kg",GTO,,,,,,,,,,,BulgariaSat-1,"Success
",F9 FTB1029.2,Success,"['3 June 2017,', '21:07']",19:10
36,,VAFB,,"6,761 kg",LEO,,,,,,,,,,,Iridium NEXT,"Success
",F9 FT,Success,"['23 June 2017,', '19:10']",20:25
37,,KSC,,"3,310 kg",SSO,,,,,,,,,,,Intelsat 35e,"Success
",F9 FT,Success,"['25 June 2017,', '20:25']",23:38
38,,KSC,,475 kg,LEO,,,,,,,,,,,SpaceX CRS-12,"Success
",F9 B4,Success,"['5 July 2017,', '23:38']",16:31
39,,VAFB,,"4,990 kg",Polar,,,,,,,,,,,Formosat-5,"Success
",F9 FT,Success,"['14 August 2017,', '16:31']",18:51
40,,KSC,,"9,600 kg",GTO,,,,,,,,,,,Boeing X-37B,"Success
",F9 B4,Success,"['24 August 2017,', '18:51']",14:00
41,,VAFB,,"5,200 kg",GTO,,,,,,,,,,,Iridium NEXT,Success,F9 B4,Controlled,"['7 September 2017,', '14:00']",12:37
42,,KSC,,"3,500 kg",LEO,,,,,,,,,,,SES-11,Success,F9 FTB1031.2,Success,"['9 October 2017,', '12:37']",22:53:00
43,,KSC,,"2,205 kg",Polar,,,,,,,,,,,Koreasat 5A,Success,F9 B4,Controlled,"['11 October 2017,', '22:53:00']",19:34
44,,Cape Canaveral,,"9,600 kg",LEO,,,,,,,,,,,SpaceX CRS-13,Success,F9 FTB1035.2,Not attempted,"['30 October 2017,', '19:34']",15:36
45,,VAFB,,C,GTO,,,,,,,,,,,Iridium NEXT,Success,F9 FTB1036.2,No attempt,"['15 December 2017,', '15:36']",01:27
46,,CCAFS,,"4,230 kg",SSO,,,,,,,,,,,Zuma,Success,F9 B4,No attempt,"['23 December 2017,', '01:27']",01:00
47,,CCAFS,,"2,150 kg",GTO,,,,,,,,,,,GovSat-1,Success,F9 FTB1032.2,Not attempted,"['8 January 2018,', '01:00']",21:25
48,,VAFB,,"6,092 kg",Polar,,,,,,,,,,,Paz,Success,F9 FTB1038.2,Success,"['31 January 2018,', '21:25']",14:17
49,,CCAFS,,"9,600 kg",LEO,,,,,,,,,,,Hispasat 30W-6,Success,F9 B4,Success,"['22 February 2018,', '14:17']",05:33
50,,VAFB,,"2,647 kg",HEO,,,,,,,,,,,Iridium NEXT,Success,F9 B4B1041.2,Not attempted,"['6 March 2018,', '05:33']",14:14
51,,CCAFS,,362 kg,GTO,,,,,,,,,,,SpaceX CRS-14,Success,F9 B4B1039.2,Not attempted,"['30 March 2018,', '14:14']",20:30
52,,CCAFS,,"3,600 kg",Polar,,,,,,,,,,,Transiting Exoplanet Survey Satellite,Success,F9 B4,Not attempted,"['2 April 2018,', '20:30']",22:51
53,,KSC,,"6,460 kg",GTO,,,,,,,,,,,Bangabandhu-1,Success,F9 B5B1046.1,Success,"['18 April 2018,', '22:51']",20:14
54,,VAFB,,"5,384 kg",LEO,,,,,,,,,,,Iridium NEXT,Success,F9 B4B1043.2,Success,"['11 May 2018,', '20:14']",19:47
55,,CCAFS,,"2,697 kg",GTO,,,,,,,,,,,SES-12,Success,F9 B4B1040.2,Success,"['22 May 2018,', '19:47']",04:45
56,,CCAFS,,"7,075 kg",Polar,,,,,,,,,,,SpaceX CRS-15,Success,F9 B4B1045.2,Success,"['4 June 2018,', '04:45']",09:42
57,,CCAFS,,"9,600 kg",GTO,,,,,,,,,,,Telstar 19V,Success,F9 B5,Success,"['29 June 2018,', '09:42']",05:50
58,,VAFB,,"5,800 kg",GTO,,,,,,,,,,,Iridium NEXT,Success,F9 B5B1048,Success,"['22 July 2018,', '05:50']",11:39
59,,CCAFS,,"7,060 kg",SSO,,,,,,,,,,,Merah Putih,Success,F9 B5B1046.2,Success,"['25 July 2018,', '11:39']",05:18
60,,CCAFS,,"3,000 kg",GTO,,,,,,,,,,,Telstar 18V,"Success
",F9 B5,Failure,"['7 August 2018,', '05:18']",04:45
61,,VAFB,,"5,300 kg",SSO,,,,,,,,,,,SAOCOM 1A,Success,F9 B5B1048.2,Not attempted,"['10 September 2018,', '04:45']",02:22
62,,KSC,,"~4,000 kg",LEO,,,,,,,,,,,Es'hail 2,"Success
",F9 B5B1047.2,Success,"['8 October 2018,', '02:22']",20:46
